gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,costat,ggroup,gind,gsector,gsubind
023247,20211231,2021,FS,C,D,STD,PJT,PJT PARTNERS INC,USD,987.6250,A,4020,402030,40,40203020
023249,20210630,2021,INDL,C,D,STD,LITE,LUMENTUM HOLDINGS INC,USD,3551.6000,A,4520,452010,45,45201020
023252,20210630,2021,INDL,C,D,STD,ETD,ETHAN ALLEN INTERIORS INC,USD,683.2450,A,2520,252010,25,25201020
023296,20211231,2021,INDL,C,D,STD,EVA,ENVIVA INC,USD,1924.1470,A,1010,101020,10,10102050
023326,20211231,2021,INDL,C,D,STD,IBDO,ISHARES IBONDS DEC 2023 TRM,USD,,A,,,,
023327,20211231,2021,INDL,C,D,STD,IBDP,ISHARES IBONDS DEC 2024 TRM,USD,,A,,,,
023328,20211231,2021,INDL,C,D,STD,IBDN,ISHARES IBONDS DEC 2022 TRM,USD,,A,,,,
023331,20211231,2021,INDL,C,D,STD,IBDQ,ISHARES IBONDS DEC 2025 TRM,USD,,A,,,,
023332,20211231,2021,INDL,C,D,STD,AFTY,PACER CSOP FTSE CHNA A50 ETF,USD,,A,,,,
023351,20211231,2021,INDL,C,D,STD,SDEM,GLOBAL X MSCI SUPERDIV EMERG,USD,,A,,,,
023352,20211231,2021,INDL,C,D,STD,SRET,GLOBAL X SUPERDIV REIT ETF,USD,,A,,,,
023353,20211231,2021,INDL,C,D,STD,GSBD,GOLDMAN SACHS BDC INC,USD,3550.9910,A,4020,402030,40,40203010
023358,20211231,2021,INDL,C,D,STD,CDTX,CIDARA THERAPEUTICS INC,USD,75.3250,A,3520,352010,35,35201010
023370,20210630,2021,INDL,C,D,STD,SISI,SHINECO INC,USD,61.3190,A,3030,303020,30,30302010
023378,20211231,2021,INDL,C,D,STD,XT,ISHARES EXPNENTL TECHNOL ETF,USD,,A,,,,
023400,20211231,2021,INDL,C,D,STD,QED,IQ HEDGE EVENT-DRIVEN TRAKR,USD,,A,,,,
023401,20211231,2021,INDL,C,D,STD,QLS,IQ HEDGE LONG/SHORT TRACKER,USD,,A,,,,
023402,20211231,2021,INDL,C,D,STD,ROSC,HARTFORD MULTI GLO SM CP ETF,USD,,A,,,,
023404,20210630,2021,INDL,C,D,STD,UPDC,UPD HOLDING CORP,USD,0.5180,A,3030,303020,30,30302010
